"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "JSON", "SQL", "Markdown", "HTML", "comment", "blank", "total"
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/sagas/getResourceTags.saga.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/sagas/job.saga.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 3, 5, 35
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/sagas/login.saga.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 20, 10, 68
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/sagas/profile.saga.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 3, 8, 44
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/sagas/registration.saga.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 8, 9, 38
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/sagas/tech.saga.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 6, 16, 86
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/sagas/user.saga.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 8, 6, 32
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/src/redux/store.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 8, 6, 29
"/Users/elijahlawson/Desktop/Prime/Prime-Alumni-Resources/tailwind.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 1, 2, 10
"Total", "-", 1111, 1860, 522, 18899, 94, 83, 15, 731, 832, 24147
